life_insurer,year,claims_pending_start_no,claims_pending_start_amt,claims_intimated_no,claims_intimated_amt,total_claims_no,total_claims_amt,claims_paid_no,claims_paid_amt,claims_repudiated_no,claims_repudiated_amt,claims_rejected_no,claims_rejected_amt,claims_unclaimed_no,claims_unclaimed_amt,claims_pending_end_no,claims_pending_end_amt,claims_paid_ratio_no,claims_paid_ratio_amt,claims_repudiated_rejected_ratio_no,claims_repudiated_rejected_ratio_amt,claims_pending_ratio_no,claims_pending_ratio_amt,category
Aditya Birla Sun Life,2021-22,11,3.64,9997,876.69,10008,880.32,9815,846.43,186,32.98,0,0.0,0,0.0,7,0.91,0.981,0.962,0.019,0.037,0.0007,0.001,Individual Death Claims
Aegon,2021-22,0,0.0,720,276.48,720,276.48,713,273.04,6,3.42,0,0.0,0,0.0,1,0.02,0.990,0.988,0.008,0.012,0.001,0.0001,Individual Death Claims
Ageas Federal,2021-22,50,6.70,2644,128.03,2694,134.73,2614,122.63,57,8.67,0,0.0,0,0.0,23,3.43,0.970,0.910,0.021,0.064,0.009,0.025,Individual Death Claims
Aviva,2021-22,0,0.0,1672,270.95,1672,270.95,1645,266.70,27,4.25,0,0.0,0,0.0,0,0.0,0.984,0.984,0.016,0.016,0.0,0.0,Individual Death Claims
Bajaj Allianz,2021-22,5,3.7,21045,822.27,21050,825.97,20844,771.88,195,44.73,0,0.0,0,0.0,11,9.37,0.990,0.935,0.009,0.054,0.0005,0.011,Individual Death Claims
Bharti Axa,2021-22,0,0.0,3203,243.59,3203,243.59,3174,234.72,27,2.04,0,0.0,0,0.0,2,6.82,0.991,0.964,0.008,0.008,0.0006,0.028,Individual Death Claims
Canara HSBC OBC,2021-22,25,5.87,2788,282.23,2813,288.10,2769,277.79,41,7.81,0,0.0,0,0.0,3,2.50,0.984,0.964,0.015,0.027,0.001,0.009,Individual Death Claims
Edelweiss Tokio,2021-22,2,3.0,993,156.86,995,159.86,976,152.06,19,7.80,0,0.0,0,0.0,0,0.0,0.981,0.951,0.019,0.049,0.0,0.0,Individual Death Claims
Exide Life,2021-22,63,8.78,7216,309.83,7279,318.62,7213,306.81,7,0.32,0,0.0,0,0.0,59,11.49,0.991,0.963,0.001,0.001,0.008,0.036,Individual Death Claims
Future Generali,2021-22,8,2.71,1656,83.98,1664,86.69,1600,77.67,64,9.02,0,0.0,0,0.0,0,0.0,0.962,0.896,0.038,0.104,0.0,0.0,Individual Death Claims
HDFC Life,2021-22,178,167.24,26944,2751.01,27122,2918.24,26758,2608.22,136,107.36,188,171.83,17,5.66,23,25.18,0.987,0.894,0.012,0.096,0.0008,0.009,Individual Death Claims
ICICI Prudential,2021-22,16,7.82,22265,3110.22,22281,3118.04,21795,2977.50,398,112.25,0,0.0,8,0.77,80,27.52,0.978,0.955,0.018,0.036,0.004,0.009,Individual Death Claims
IndiaFirst,2021-22,15,3.95,4922,245.58,4937,249.53,4785,227.31,143,18.18,0,0.0,0,0.0,9,4.04,0.969,0.911,0.029,0.073,0.002,0.016,Individual Death Claims
Kotak Mahindra,2021-22,16,7.28,7117,606.31,7133,613.59,7049,586.15,60,19.13,0,0.0,0,0.0,24,8.32,0.988,0.955,0.008,0.031,0.003,0.014,Individual Death Claims
LIC,2021-22,1725,292.42,1365379,29293.46,1367104,29585.88,1349865,28408.38,8713,347.19,3619,8.5,2625,461.66,2282,360.15,0.987,0.960,0.009,0.012,0.002,0.012,Individual Death Claims
Max Life,2021-22,1,0.5,31034,2076.81,31035,2077.31,30830,2008.94,205,68.37,0,0.0,0,0.0,0,0.0,0.993,0.967,0.007,0.033,0.0,0.0,Individual Death Claims
PNB MetLife,2021-22,0,0.0,8586,717.43,8586,717.43,8357,669.69,224,43.21,0,0.0,3,2.03,2,2.50,0.973,0.933,0.026,0.060,0.0002,0.003,Individual Death Claims
Pramerica Life,2021-22,1,0.21,1060,52.83,1061,53.04,1043,51.34,16,1.5,0,0.0,0,0.0,2,0.20,0.983,0.968,0.015,0.028,0.002,0.004,Individual Death Claims
Reliance Nippon,2021-22,4,1.48,13726,359.28,13730,360.76,13548,344.14,174,14.48,0,0.0,5,1.60,3,0.54,0.987,0.954,0.013,0.040,0.0002,0.002,Individual Death Claims
SBI Life,2021-22,912,101.54,54874,2808.60,55786,2910.14,54140,2751.53,1541,127.58,0,0.0,69,10.64,7,0.91,0.970,0.945,0.028,0.044,0.0001,0.0003,Individual Death Claims
Sahara Life,2021-22,2,0.02,1164,12.82,1166,12.85,1132,12.47,16,0.31,15,0.0005,0,0.0,3,0.06,0.971,0.971,0.027,0.024,0.003,0.005,Individual Death Claims
Shriram,2021-22,11,0.98,5854,202.18,5865,203.16,5620,167.39,163,23.58,78,12.13,0,0.0,4,0.07,0.958,0.824,0.041,0.176,0.0007,0.0003,Individual Death Claims
Star Union Dai-ichi,2021-22,8,1.02,2943,170.30,2951,171.32,2875,156.60,74,14.32,0,0.0,0,0.0,2,0.40,0.974,0.914,0.025,0.084,0.0007,0.002,Individual Death Claims
Tata AIA,2021-22,2,4.4,8067,1599.53,8069,1603.93,7950,1518.17,117,80.63,0,0.0,0,0.0,2,5.13,0.985,0.947,0.014,0.050,0.0002,0.003,Individual Death Claims
Aditya Birla Sun Life,2020-21,19,3.80,6455,468.85,6474,472.65,6347,440.26,116,28.75,0,0.0,0,0.0,11,3.64,0.980,0.931,0.018,0.061,0.002,0.008,Individual Death Claims
Aegon,2020-21,0,0.0,401,107.44,401,107.44,398,105.98,3,1.46,0,0.0,0,0.0,0,0.0,0.993,0.986,0.007,0.014,0.0,0.0,Individual Death Claims
Ageas Federal,2020-21,5,1.45,1800,87.13,1805,88.58,1716,73.91,38,7.71,1,0.05,0,0.0,50,6.91,0.951,0.834,0.022,0.088,0.028,0.078,Individual Death Claims
Aviva,2020-21,5,0.78,1050,116.37,1055,117.15,1034,111.57,21,5.58,0,0.0,0,0.0,0,0.0,0.980,0.952,0.020,0.048,0.0,0.0,Individual Death Claims
Bajaj Allianz,2020-21,2,0.65,14331,445.89,14333,446.54,14115,410.68,213,32.16,0,0.0,0,0.0,5,3.70,0.985,0.920,0.015,0.072,0.0003,0.008,Individual Death Claims
Bharti Axa,2020-21,2,1.15,1891,106.44,1893,107.60,1875,106.04,18,1.56,0,0.0,0,0.0,0,0.0,0.990,0.985,0.010,0.015,0.0,0.0,Individual Death Claims
Canara HSBC OBC,2020-21,2,2.0,1897,166.54,1899,168.54,1844,156.08,30,6.59,0,0.0,0,0.0,25,5.87,0.971,0.926,0.016,0.039,0.013,0.035,Individual Death Claims
Edelweiss Tokio,2020-21,0,0.0,502,52.09,502,52.09,487,45.83,13,3.26,0,0.0,0,0.0,2,3.0,0.970,0.880,0.026,0.063,0.004,0.058,Individual Death Claims
Exide Life,2020-21,38,9.05,5014,173.66,5052,182.70,4978,170.43,11,3.49,0,0.0,0,0.0,63,8.78,0.985,0.933,0.002,0.019,0.012,0.048,Individual Death Claims
Future Generali,2020-21,3,0.31,1223,55.47,1226,55.78,1163,48.11,55,4.96,0,0.0,0,0.003,8,2.71,0.949,0.862,0.045,0.089,0.007,0.049,Individual Death Claims
HDFC Life,2020-21,35,17.58,16941,1277.96,16976,1295.54,16639,1037.23,84,39.98,58,47.95,17,3.13,178,167.24,0.980,0.801,0.008,0.068,0.010,0.129,Individual Death Claims
ICICI Prudential,2020-21,95,43.70,14734,1643.05,14829,1686.75,14518,1504.64,289,174.14,0,0.0,6,0.15,16,7.82,0.979,0.892,0.019,0.103,0.001,0.005,Individual Death Claims
IndiaFirst,2020-21,9,2.53,2972,117.74,2981,120.27,2886,109.64,80,6.67,0,0.0,0,0.0,15,3.95,0.968,0.912,0.027,0.055,0.005,0.033,Individual Death Claims
